Bloco 2 — Formatos de armazenamento e serialização,,,,,,,,,,,
Uma linha por conjunto de dados que o projeto grava. A coluna de justificativa é a que vale nota.,,,,,,,,,,,
,,,,,,,,,,,
Linha 6 = exemplo fictício (não apague). Preencha a partir da linha 7.,,,,,,,,,,,
Nº,Conjunto de dados,"Fonte de origem
(nº da aba 1)",Formato atual,Texto ou binário,"Orientação
(linha | coluna | não se aplica)","Tamanho estimado
(em 1 ano)","Como é lido
(registro inteiro | poucas colunas | busca por chave)",Frequência de leitura,Formato proposto,Justificativa da escolha,Ganho esperado (se houver troca)
1,Histórico de empréstimos,1,CSV exportado do banco,texto,linha,"~1,2 GB",poucas colunas (data e duração) sobre milhões de linhas,"semanal, para relatórios",Parquet,A análise só usa 3 de 14 colunas; formato colunar evita ler o resto e comprime valores repetidos,Leitura estimada 6x mais rápida e ~70% menos disco
2,"Resposta bruta da API do SIDRA — camada de aterrissagem, uma requisição = um arquivo","3, 4 e 5","JSON: array de objetos com chaves curtas (NC, NN, D1C, D1N, D2C, D2N, D3C, D3N, D4C, D4N, V) e TODOS os valores como string, com vírgula decimal",texto,linha,"Medido: ~10,4 MB por mês da 7060. Em regime, ~125 MB/ano. A carga histórica inteira (241 meses) dá ~2,2 GB","registro inteiro, uma única vez, no momento da ingestão","uma leitura por arquivo, só na carga","manter o JSON como está, comprimido em gzip, apenas como evidência de proveniência",A camada bruta não existe para ser consultada: existe para reprocessar e para provar de onde veio o número. Converter aqui destruiria a auditoria. Gzip porque o JSON do SIDRA repete todas as chaves em cada objeto,"Medido: 18x menos disco (10,4 MB viram 0,6 MB). Nenhum ganho de leitura, porque essa camada não é consultada"
3,Observação de IPCA no banco transacional,"3, 4 e 5, unificadas numa série só","tabelas do PostgreSQL (heap, orientado a linha), valor como numeric(10,4) e mes_referencia como date",binário,linha,"~4,7 milhões de linhas na carga histórica, +~260 mil linhas/ano em regime (21.620 x 12). Estimativa de 700 MB a 1 GB com índices — estimativa por largura média de linha, ainda não medida em banco populado",poucas colunas (valor e mes_referencia) filtradas por subitem + localidade + variável,alta — toda tela do lojista bate aqui,"permanece PostgreSQL na E1; a réplica colunar (Parquet/Iceberg) entra na E2, não agora","A E1 é o sistema de origem. Formato colunar aqui trocaria escrita transacional barata por leitura analítica — e a escrita transacional (aplicar reajuste) é justamente o que a E1 precisa ter de verdade. O colunar resolve as perguntas 2 e 3, que são analíticas, e é exatamente por isso que elas migram na E2",Não se aplica nesta Entrega: nenhuma troca de formato é feita na E1
4,"Recorte de consumo do painel — view materializada por (subitem, localidade, mês)","3, 4, 5, 6 e 7","view materializada no PostgreSQL, com a variação mensal e a acumulada em 12 meses já resolvidas e o nome do subitem vigente já resolvido",binário,linha,"~1,7 milhão de linhas (uma por subitem x localidade x mês da série viva); estimativa de 200 a 300 MB — não medida em banco populado","poucas colunas, busca por chave (subitem + localidade) com faixa de meses","altíssima — é o que as telas 1, 4 e 5 leem",permanece relacional na E1; vira modelo dimensional em Parquet/Iceberg na E3,"As telas não podem pagar a junção com classificacao_versao a cada acesso: o nome vigente do subitem exige resolver vigência, e isso é caro para repetir em consulta de 300 ms. Materializar troca frescor (refresh após a carga mensal) por latência — e o dado é mensal, então frescor não custa nada aqui","A medir com EXPLAIN (ANALYZE, BUFFERS) sobre a série completa. Sem número, esta linha não passa de hipótese"
5,"Resposta bruta das APIs macroeconômicas e climáticas (Dólar, Selic, Ações, INMET, PIB) — camada de aterrissagem","8, 9, 10, 11 e 12","JSON (arrays e objetos das APIs Rest, tipicamente tipados como string ou numéricos puros)",texto,linha,"~150 MB/ano no total (sendo ~120MB apenas das medições do INMET, o restante tem tamanho irrisório)","registro inteiro, uma única vez, no momento da ingestão","uma leitura por arquivo, só na carga (diária ou trimestral)","manter o JSON como está, comprimido em gzip, na camada raw apenas como evidência","Essa camada existe apenas para rastreabilidade e proveniência (""qual era a cotação real enviada pela API no dia X?""). Mudar o formato bruto destrói a auditoria original. O gzip comprime chaves repetitivas no JSON.","Medido/Estimado: ~80% menos armazenamento por conta do gzip. Nenhum ganho de leitura, pois a camada não é consultada ativamente."
6,"Séries temporais de câmbio, juros, bolsa e clima no banco principal","8, 9, 10, 11 e 12, unificadas por data","tabelas do PostgreSQL (heap, orientado a linha), valores como numeric/float e a chave como date",binário,linha,~30 a 50 MB por ano (com índices em data_referencia e localidade),poucas colunas (valor da taxa ou temperatura) com busca por chave temporal (data_referencia) e faixa de tempo,média — lido em painéis de análise para cruzamento causal com as séries de inflação (IPCA/INPC),permanece PostgreSQL na E1 (junto com o resto da base analítica),Aproveita a mesma infraestrutura da série do IPCA e usa a mesma chave (Data). O PostgreSQL lida tranquilamente com essa volumetria sem precisar de um banco puramente colunar/série temporal imediato.,Não se aplica nesta Entrega: não vale a pena trocar a ferramenta de banco agora enquanto a volumetria for baixa e couber no PostgreSQL.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Dica do bloco 2: linha favorece quem lê registros inteiros; coluna favorece quem lê poucos atributos de muitos registros. Texto é legível e volumoso; binário é compacto e opaco.,,,,,,,,,,,
